1: alpha='1.189', ps='0.1', rho='0.5', wp='0.03'
2: alpha='1.0', ps='0.1', rho='1.0', wp='0.0'
3: alpha='1.0', ps='0.1', rho='1.0', wp='0.01'
4: alpha='1.0', ps='0.1', rho='1.0', wp='0.02'
5: alpha='1.0', ps='0.1', rho='1.0', wp='0.03'
6: alpha='1.306021869478641', ps='0.1980412697963438', rho='0.060790435963281264', wp='0.009948840476832867'
7: alpha='1.0898486687548863', ps='0.023030479907182013', rho='0.010140740502193935', wp='0.010605903787625357'
8: alpha='1.1808005508512793', ps='0.03075531729114618', rho='0.0038704859783526002', wp='0.016225017700471998'
9: alpha='1.2036341926701781', ps='0.1881846836510483', rho='0.9613321030652345', wp='0.03289126547296466'
10: alpha='1.1879441748410589', ps='0.04127407621662143', rho='6.29047645412939E-5', wp='0.05644036845145875'
11: alpha='1.0911853221596204', ps='0.03075531729114618', rho='0.0038704859783526002', wp='0.04018199618504228'
12: alpha='1.1255298273585346', ps='0.10385103273757777', rho='0.19804910565118639', wp='0.030339902886581335'
13: alpha='1.1451178421846735', ps='0.03075531729114618', rho='0.0038704859783526002', wp='0.016225017700471998'
